,table
zfp451,z
zap70,z
zdbf2,z
zfp142,z
zfand2b,z
zcchc2,z
zfp813-ps,z
zranb3,z
zp3r,z
zc3h11a,z
zfp281,z
zbtb41,z
zfp648,z
zbtb37,z
zbtb18,z
zmynd19,z
zdhhc12,z
zer1,z
zbtb34,z
zbtb43,z
zbtb6,z
zbtb26,z
zeb2,z
zeb2os,z
zfp385b,z
zfp804a,z
zc3h15,z
zswim2,z
zdhhc5,z
zfp408,z
zfp770,z
zfyve19,z
zfp106,z
zscan29,z
zfp661,z
zc3h8,z
zc3h6,z
zfp120,z
zfp937,z
zfp442,z
zfp345,z
zcchc3,z
zfp341,z
zhx3,z
zswim3,z
zswim1,z
zfp335,z
zfp335os,z
zfp663,z
zfp334,z
zmynd8,z
znfx1,z
zfp64,z
zfp217,z
zbp1,z
zfp831,z
zfp968,z
zfp965,z
zfp969,z
zfp966,z
zfp967,z
zfp973,z
zfp970,z
zfp972,z
zfp971,z
zfp931,z
zgpat,z
zbtb46,z
zfp512b,z
zfhx4,z
zc2hc1a,z
zbtb10,z
zfp704,z
zfand1,z
zmat3,z
zfp639,z
zbbx,z
zbtb7b,z
zfp687,z
zfp697,z
zgrf1,z
znhit6,z
zzz3,z
zranb2,z
zfp292,z
zcchc7,z
zbtb5,z
zfp189,z
zfp462,z
zkscan16,z
zfp37,z
zfp618,z
zdhhc21,z
zfp352,z
zyg11a,z
zyg11b,z
zfyve9,z
zswim5,z
zfp691,z
zmynd12,z
zfp69,z
zmpste24,z
zc3h12a,z
zmym4,z
zmym1,z
zmym6,z
zscan20,z
zfp362,z
zbtb8os,z
zbtb8a,z
zbtb8b,z
zcchc17,z
zdhhc18,z
zfp683,z
zfp593,z
zfp46,z
zbtb40,z
zbtb17,z
zfp990,z
zfp980,z
zfp986,z
zfp987,z
zfp600,z
zfp992,z
zfp981,z
zfp993,z
zfp989,z
zfp991,z
zfp988,z
zfp978,z
zfp982,z
zfp985,z
zfp979,z
zfp534,z
zfp984,z
zfp933,z
zbtb48,z
zfp804b,z
zfp513,z
zfp512,z
zfyve28,z
zbtb49,z
zfp518b,z
zcchc4,z
zar1,z
zfp951,z
zfp326,z
zfp644,z
zfp932,z
zfp605,z
zcchc8,z
zfp664,z
zfp11,z
zbed5,z
zp3,z
znhit1,z
zan,z
zcwpw1,z
zkscan1,z
zscan21,z
zfp113,z
zfp157,z
zfp68,z
zfand2a,z
zfp12,z
zfp316,z
zfp853,z
zdhhc4,z
zkscan14,z
zkscan5,z
zfp655,z
zscan25,z
zar1l,z
zfp800,z
zc3hc1,z
zc3hav1l,z
zc3hav1,z
zyx,z
zfp786,z
zfp398,z
zfp282,z
zfp212,z
zfp956,z
zfp777,z
zfp746,z
zfp467,z
zfp775,z
znrf2,z
zfp638,z
zxdc,z
zfand4,z
zfp422,z
zfp637,z
zfp239,z
zfp248,z
zfp9,z
zfp384,z
zfp628,z
zfp579,z
zfp524,z
zfp865,z
zfp784,z
zfp580,z
zfp787,z
zfp444,z
zscan5b,z
zfp667,z
zfp583,z
zfp78,z
zfp28,z
zim1,z
zim3,z
zfp954,z
zfp773,z
zfp418,z
zfp772,z
zik1,z
zscan4c,z
zscan4-ps1,z
zscan4d,z
zscan4e,z
zscan4f,z
zscan4-ps2,z
zscan4-ps3,z
zfp551,z
zfp606,z
zscan18,z
zfp329,z
zfp110,z
zfp128,z
zscan22,z
zfp324,z
zfp446,z
zbtb45,z
zswim9,z
zfp541,z
zc3h4,z
zfp296,z
zfp180,z
zfp112,z
zfp235,z
zfp114,z
zfp111,z
zfp109,z
zfp108,z
zfp93,z
zfp61,z
zfp94,z
zfp428,z
zfp575,z
zfp574,z
zfp526,z
zfp607b,z
zfp60,z
zfp626,z
zfp59,z
zfp607a,z
zfp974,z
zfp780b,z
zfp850,z
zfp36,z
zfp84,z
zfp30,z
zfp790,z
zfp940,z
zfp420,z
zfp27,z
zfp383,z
zfp74,z
zfp568,z
zfp14,z
zfp82,z
zfp566,z
zfp260,z
zfp382,z
zfp146,z
zbtb32,z
zfp507,z
zfp536,z
zfp619,z
zfp788,z
zfp141,z
zfp977,z
zfp976,z
zfp975,z
zfp936,z
zfp715,z
zfp658,z
zfp719,z
zfp819,z
zfp473,z
zdhhc13,z
zfp710,z
zscan2,z
zfp592,z
zfand6,z
zfp143,z
zp2,z
zkscan2,z
zg16,z
zfp553,z
zfp771,z
zfp768,z
zfp747,z
zfp764,z
zfp688,z
zfp689,z
zfp629,z
zfp668,z
zfp646,z
zranb1,z
zfp511,z
zfp941,z
zfp358,z
zfp958,z
zmat4,z
zfp703,z
zdhhc2,z
zfp42,z
zfp930,z
zfp868,z
zfp964,z
zfp869,z
zfp963,z
zfp866,z
zfp709,z
zfp882,z
zfp617,z
zfp961,z
zfp827,z
zfp330,z
zswim4,z
zfp791,z
zfp423,z
zfp319,z
zdhhc1,z
zfp90,z
zfhx3,z
zfp821,z
zfp612,z
znrf1,z
zfp1,z
zdhhc7,z
zcchc14,z
zfp469,z
zfpm1,z
zc3h18,z
zfp276,z
zfp558,z
zfp317,z
zfp560,z
zfp26,z
zfp426,z
zfp266,z
zfp846,z
zglp1,z
zfp653,z
zfp872,z
zfp809,z
zfp599,z
zfp810,z
zbtb44,z
zfp202,z
zpr1,z
zbtb16,z
zw10,z
zc3h12c,z
zwilch,z
zfp609,z
zfp280d,z
zfp949,z
zic1,z
zic4,z
zbtb38,z
zmynd10,z
zfp651,z
zfp445,z
zkscan7,z
zfp105,z
zdhhc3,z
zbtb2,z
zc3h12d,z
zc2hc1b,z
zbtb24,z
zfp365,z
zwint,z
zfp280b,z
zbtb7a,z
zfr2,z
zfp433,z
zfp781,z
zfp873,z
zfp938,z
zdhhc17,z
zfc3h1,z
zbtb39,z
zc3h10,z
zmat5,z
znrf3,z
zmiz2,z
zpbp,z
zrsr1,z
zfp62,z
zfp354c,z
zfp879,z
zfp454,z
zfp2,z
zfp354b,z
zfp354a,z
zcchc10,z
zfp692,z
zfp672,z
zfp39,z
zfp867,z
zkscan17,z
zswim7,z
zfp287,z
zfp286,z
zfp286os,z
zkscan6,z
zbtb4,z
zmynd15,z
zfp3,z
zzef1,z
zfp735,z
zfp616,z
zfp207,z
zfp830,z
znhit3,z
zfp652os,z
zfp652,z
zpbp2,z
zfp385c,z
zfp750,z
zfp277,z
zbtb25,z
zbtb1,z
zfyve26,z
zfp36l1,z
zfyve1,z
zfp410,z
zc2hc1c,z
zdhhc22,z
zc3h14,z
zfp839,z
zfyve21,z
zbtb42,z
zfp386,z
zmynd11,z
zscan12,z
zkscan3,z
zscan26,z
zkscan4,z
zkscan8,z
zfp184,z
zfp322a,z
zfp169,z
zfp346,z
zfp808,z
zfp934,z
zfp367,z
zfp369,z
zfp712,z
zfp708,z
zfp759,z
zfp455,z
zfp458,z
zfp457,z
zfp595,z
zfp456,z
zfp429,z
zfp459,z
zfp874a,z
zfp874b,z
zfp58,z
zfp87,z
zfp748,z
zfp729b,z
zfp729a,z
zfp738,z
zfp65,z
zfp85,z
zfp493,z
zfp273,z
zdhhc11,z
zfp72,z
zfp825,z
zcchc9,z
zfyve16,z
zbed3,z
zfp366,z
zfp131,z
zswim8,z
zfp503,z
zmiz1os1,z
zmiz1,z
zcchc24,z
zfp488,z
zfp219,z
zfhx2os,z
zfhx2,z
zmym5,z
zmym2,z
zdhhc20,z
zfp395,z
zc3h13,z
zfp957,z
zic5,z
zic2,z
zfr,z
zfp622,z
zfp706,z
zfpm2,z
zhx2,z
zhx1,z
zfat,z
zfp41,z
zc3h3,z
zfp623,z
zfp707,z
zfp251,z
zfp7,z
zfp647,z
zc3h7b,z
zbed4,z
zcrb1,z
zfp641,z
zfp740,z
zfp385a,z
zfp263,z
zfp174,z
zfp597,z
zc3h7a,z
zdhhc8,z
zdhhc19,z
zfp148,z
zbtb20,z
zdhhc23,z
zpld1,z
zbtb11os1,z
zbtb11,z
zfp654,z
zbtb21,z
zdhhc14,z
zfp960,z
zfp97,z
zfp160,z
zfp677,z
zfp54,z
zfp51,z
zfp53,z
zfp52,z
zfp948,z
zfp983,z
zfp760,z
zfp229,z
zfp820,z
zfp995,z
zfp942,z
zfp943,z
zfp947,z
zfp994,z
zfp944,z
zfp758,z
zfp946,z
zfp945,z
zfp40,z
zfp213,z
zfp13,z
zscan10,z
zfp598,z
zbtb9,z
zfp523,z
zfand3,z
zfp871,z
zfp811,z
zfp799,z
zfp870,z
zfp472,z
