,table
mrpl15,m
mybl1,m
mcmdc2,m
msc,m
mcm3,m
mgat4a,m
mitd1,m
mrpl30,m
map4k4,m
mfsd9,m
mrps9,m
mettl21c,m
myo1b,m
mfsd6,m
mob4,m
mars2,m
maip1,m
mpp4,m
mettl21a,m
map2,m
myl1,m
mreg,m
mogat1,m
mrpl44,m
mff,m
mroh2a,m
mlph,m
mterf4,m
marco,m
mgat5,m
map3k19,m
mcm6,m
mapkapk2,m
mfsd4a,m
mdm4,m
mybph,m
mr1,m
mrps14,m
mettl13,m
myoc,m
mettl18,m
mpc2,m
mpzl1,m
mgst3,m
mpz,m
mndal,m
mia3,m
mark1,m
meig1,m
mcm10,m
mindy3,m
mrc1,m
mllt10,m
msrb2,m
mastl,m
mrpl41,m
man1b1,m
mamdc4,m
med22,m
mrps2,m
med27,m
miga2,m
mvb12b,m
mapkap1,m
morn5,m
mrrf,m
mbd5,m
mmadhc,m
mettl5,m
myo3b,m
mettl8,m
metap1d,m
map3k20,m
mtx2,m
med19,m
mtch2,m
mybpc3,m
madd,m
mdk,m
mapk8ip1,m
mpped2,m
mettl15,m
meis2,m
mga,m
mapkbp1,m
map1a,m
mfap1b,m
mfap1a,m
myef2,m
mrps5,m
mal,m
mall,m
mertk,m
mrps26,m
mavs,m
mcm8,m
mkks,m
macrod2,m
mgme1,m
mcts2,m
mylk2,m
mapre1,m
map1lc3a,m
myl9,m
mroh8,m
manbal,m
mafb,m
mybl2,m
matn4,m
mmp9,m
mocs3,m
mtg2,m
mrgbp,m
magix,m
mid1ip1,m
med14,m
maoa,m
maob,m
mcts1,m
mbnl3,m
mospd1,m
mmgt1,m
map7d3,m
mamld1,m
mtm1,m
mtmr1,m
mecp2,m
mpp1,m
mtcp1,m
maged1,m
msn,m
med12,m
magee2,m
magee1,m
magt1,m
morf4l2,m
morc4,m
mid2,m
maged2,m
mageh1,m
mbtps2,m
map7d2,m
map3k15,m
mospd2,m
msl3,m
mid1,m
mrps28,m
mtfr1,m
mecom,m
mynn,m
mfn1,m
mrpl47,m
mccc1,m
mfsd8,m
mgarp,m
mgst2,m
maml3,m
med12l,m
mbnl1,m
mme,m
mlf1,m
mfsd1,m
map9,m
mnd1,m
mab21l2,m
mrpl24,m
mef2d,m
mex3a,m
msto1,m
mtx1,m
muc1,m
mrpl9,m
mllt11,m
mindy1,m
mcl1,m
mrps21,m
mtmr11,m
man1a2,m
mab21l3,m
magi3,m
mov10,m
mybphl,m
mfsd14a,m
mettl14,m
mcub,m
manba,m
mttp,m
metap1,m
mcoln3,m
mcoln2,m
miga1,m
msh4,m
mmp16,m
mms22l,m
manea,m
map3k7,m
mdn1,m
mob3b,m
msmp,m
melk,m
msantd3,m
mrpl50,m
mup4,m
mup6,m
mup5,m
megf9,m
mpdz,m
mllt3,m
mtap,m
mysm1,m
mier1,m
mroh7,m
mrpl37,m
magoh,m
mob3c,m
mknk1,m
mast2,m
mmachc,m
mutyh,m
med8,m
mfsd2a,m
mycl,m
macf1,m
mycbp,m
mtf1,m
maneal,m
meaf6,m
mrps15,m
map7d1,m
marcksl1,m
matn1,m
mecr,m
med18,m
map3k6,m
mtfr1l,m
man1c1,m
myom3,m
mul1,m
mrto4,m
mfap2,m
miip,m
mfn2,m
mthfr,m
mad2l2,m
mtor,m
masp2,m
megf6,m
morn1,m
mmp23,m
mib2,m
mrpl20,m
mxra8,m
mterf1a,m
mterf1b,m
magi2,m
mapre3,m
mpv17,m
mrpl33,m
maea,m
mxd4,m
mfsd10,m
msantd1,m
mrfap1,m
man2b2,m
msx1,m
med28,m
mob1b,m
mthfd2l,m
mrpl1,m
mrps18c,m
mapk10,m
mtf2,m
mfsd7a,m
mn1,m
myo18b,m
myo1h,m
mmab,m
mvk,m
mlec,m
msi1,m
med13l,m
mapkapk5,m
myl2,m
mlxip,m
mphosph9,m
mmp17,m
mrps17,m
mettl27,m
mlxipl,m
mdh2,m
myl10,m
muc3,m
muc3a,m
mospd3,m
mepce,m
mcm7,m
mblac1,m
micall2,m
mafk,m
mad1l1,m
mrm2,m
mmd2,m
mtif3,m
mtus2,m
medag,m
mios,m
mdfic,m
met,m
mest,m
mkln1,m
mtpn,m
mkrn1,m
mrps33,m
mgam,m
malsu1,m
mturn,m
mindy4,m
mmrn1,m
mad2l1,m
mrpl35,m
mat2a,m
mrpl19,m
m1ap,m
mrpl53,m
mogs,m
mthfd2,m
mob1a,m
mxd1,m
mgll,m
mcm2,m
mrps25,m
magi1,m
mitf,m
mtmr14,m
mkrn2os,m
mkrn2,m
mbd4,m
mical3,m
m6pr,m
mfap5,m
mlf2,m
mrpl51,m
magohb,m
mansc1,m
mgp,m
mgst1,m
med21,m
mrps35,m
mansc4,m
myadm,m
mboat7,m
mzf1,m
meis3,m
mill2,m
mypop,m
mark4,m
megf8,m
mia,m
map3k10,m
med29,m
mrps12,m
map4k1,m
mag,m
mybpc2,m
myh14,m
med25,m
mamstr,m
mrgpra1,m
mrgpra2a,m
mrgpra2b,m
mrgprb1,m
mkrn3,m
mtmr10,m
mphosph10,m
mcee,m
mef2a,m
mctp2,m
mrpl46,m
mrps11,m
mfge8,m
mesp2,m
man2a2,m
mex3b,m
mesd,m
me3,m
myo7a,m
mogat2,m
map6,m
mrpl48,m
mrpl17,m
mical2,m
mosmo,m
mfsd13b,m
mettl9,m
mapk3,m
mvp,m
maz,m
mylpf,m
mcmbp,m
mki67,m
mgmt,m
mapk1ip1,m
msx3,m
mtg1,m
muc6,m
mob2,m
mrpl23,m
mrgpre,m
mrgprf,m
mthfd1l,m
myct1,m
mtrf1l,m
map3k5,m
map7,m
mtfr2,m
myb,m
moxd1,m
med23,m
marcks,m
mfsd4b4,m
mfsd4b5,m
mettl24,m
mical1,m
mcm9,m
man1a,m
msl3l2,m
mcu,m
micu1,m
mypn,m
mrln,m
mif,m
mmp11,m
mcm3ap,m
mier2,m
madcam1,m
misp,m
med16,m
midn,m
mex3d,m
mbd3,m
mknk2,m
mob3a,m
map2k2,m
matk,m
mrpl54,m
mfsd12,m
mterf2,m
mybpc1,m
metap2,m
mrpl42,m
mettl25,m
myrfl,m
mdm2,m
mdm1,m
msrb3,m
mon2,m
mettl1,m
mbd6,m
myl6,m
myl6b,m
mmp19,m
mcoln1,m
mcemp1,m
map2k7,m
myo16,m
mcf2l,m
mcph1,m
mrps31,m
mak16,m
mfhas1,m
msr1,m
micu3,m
mtmr7,m
mtus1,m
mfap3l,m
msmo1,m
mau2,m
mef2b,m
mpv17l2,m
mast3,m
map1s,m
myo9b,m
mrpl34,m
mvb12a,m
med26,m
mcm5,m
mmaa,m
mri1,m
mast1,m
man2b1,m
mmp2,m
mt3,m
mt2,m
mt1,m
mmp15,m
marveld3,m
mlkl,m
mon1b,m
maf,m
mphosph6,m
mlycd,m
mbtps1,m
mthfsd,m
map1lc3b,m
mvd,m
mc1r,m
map10,m
map3k21,m
mrps16,m
mss51,m
mustn1,m
mettl6,m
mapk8,m
mmrn2,m
mapk1ip1l,m
mettl17,m
mettl3,m
mrpl52,m
mmp14,m
myh7,m
mdp1,m
mcpt2,m
mcpt4,m
mcpt8,m
mphosph8,m
mrpl57,m
micu2,m
mtmr6,m
mipep,m
mtmr9,m
msra,m
med4,m
mtrf1,m
mzt1,m
mycbp2,m
mbnl2,m
msantd4,m
mmp13,m
mmp12,m
mmp3,m
mmp10,m
mmp8,m
mmp27,m
mmp20,m
mmp7,m
maml2,m
mtmr2,m
mre11a,m
med17,m
mrpl4,m
msantd2,m
mfrp,m
mcam,m
mpzl2,m
mpzl3,m
man2c1,m
mpi,m
myo9a,m
map2k5,m
map2k1,m
megf11,m
mtfmt,m
myo1e,m
mindy2,m
myzap,m
mns1,m
myo5a,m
myo5c,m
mapk6,m
mto1,m
myo6,m
mei4,m
me1,m
mthfsl,m
mthfs,m
morf4l1,m
mrps22,m
mras,m
msl2,m
mrpl3,m
manf,m
mapkapk3,m
mon1a,m
mst1r,m
mst1,m
map4,m
myl3,m
mlh1,m
myd88,m
myrip,m
morc2a,m
mtfp1,m
mtmr3,m
mrps24,m
myl7,m
myo1g,m
meis1,m
mdh1,m
mtif2,m
mpg,m
mat2b,m
med7,m
mgat1,m
mapk9,m
mrnip,m
mgat4b,m
maml1,m
mfap3,m
mrpl22,m
mrpl55,m
mprip,m
med9,m
mief2,m
map2k3,m
mfap4,m
mapk7,m
mmgt2,m
myocd,m
map2k4,m
myh13,m
mfsd6l,m
myh10,m
mpdu1,m
mgl2,m
med11,m
mink1,m
mis12,m
med31,m
mybbp1a,m
mettl16,m
mnt,m
myo1c,m
mrm3,m
myo18a,m
myo1d,m
mmp28,m
mrm1,m
myo19,m
med13,m
mtmr4,m
mpo,m
mks1,m
mrps23,m
msi2,m
mmd,m
mbtd1,m
mycbpap,m
mrpl27,m
mrpl10,m
mrpl45,m
mllt6,m
med1,m
mien1,m
med24,m
msl1,m
mlx,m
meox1,m
mpp3,m
mpp2,m
map3k14,m
mapt,m
myl4,m
mettl2,m
mrc2,m
map3k3,m
milr1,m
map2k6,m
mrpl58,m
mrps7,m
mif4gd,m
myo15b,m
mrpl38,m
mxra7,m
mettl23,m
mfsd11,m
mrpl12,m
mcrip1,m
mafg,m
myadml2,m
metrnl,m
mtr,m
mrpl32,m
mplkip,m
mrs2,m
mboat1,m
mak,m
mcur1,m
mylip,m
msx2,m
mxd3,m
mfsd14b,m
mterf3,m
mtrr,m
med10,m
mrpl36,m
mctp1,m
mblac2,m
mef2c,m
msh3,m
mtx3,m
mrps27,m
map1b,m
mccc2,m
marveld2,m
mrps36,m
mast4,m
mier3,m
map3k1,m
mocs2,m
mrps30,m
mfsd2b,m
mycn,m
mboat2,m
meox2,m
mbip,m
mipol1,m
mia2,m
mis18bp1,m
mdga2,m
mgat2,m
map4k5,m
mnat1,m
mthfd1,m
max,m
med6,m
map3k9,m
mlh3,m
moap1,m
mok,m
mark3,m
mta1,m
macc1,m
mtmr12,m
myo10,m
mtdh,m
matn2,m
med30,m
mal2,m
mrpl13,m
mtbp,m
mtss1,m
myc,m
mafa,m
mapk15,m
maf1,m
mroh1,m
mfsd3,m
myh9,m
mpst,m
mfng,m
micall1,m
maff,m
mgat3,m
mief1,m
mcat,m
mapk12,m
mapk11,m
mcrs1,m
mettl7a1,m
mfsd5,m
myg1,m
map3k12,m
mucl1,m
mucl2,m
mefv,m
mgrn1,m
mettl22,m
mpv17l,m
marf1,m
myh11,m
mcm4,m
mzt2,m
mapk1,m
med15,m
mrpl40,m
map6d1,m
map3k13,m
masp1,m
mb21d2,m
meltf,m
muc20,m
muc13,m
mylk,m
morc1,m
myh15,m
mrpl39,m
map3k7cl,m
mis18a,m
mrps6,m
morc3,m
mx1,m
mpc1,m
map3k4,m
mrpl18,m
mmp25,m
mlst8,m
msrb1,m
meiob,m
mapk8ip3,m
mrps34,m
metrn,m
mcrip2,m
mettl26,m
mrpl28,m
mapk14,m
mapk13,m
mtch1,m
mdga1,m
myo1f,m
msh5,m
mdc1,m
mrps18b,m
mrpl14,m
mrps18a,m
mad2l1bp,m
mrpl2,m
mea1,m
mrps10,m
med20,m
mdfi,m
mocs1,m
mpnd,m
