,table
jph1,j
jmjd7,j
jag1,j
jph2,j
jade3,j
jpx,j
jade1,j
jtb,j
jun,j
junos,j
jak1,j
jakmip1,j
jchain,j
jazf1,j
jagn1,j
josd2,j
jakmip3,j
jmjd1c,j
jsrp1,j
jund,j
jak3,j
junb,j
jph3,j
jph4,j
jrkl,j
jam3,j
jhy,j
jaml,j
jade2,j
jmjd4,j
jup,j
jpt1,j
jmjd6,j
jarid2,j
jmy,j
jkamp,j
jdp2,j
jag2,j
jrk,j
josd1,j
jam2,j
jpt2,j
jmjd8,j
jcad,j
jakmip2,j
jak2,j
hs6st1,h
hibch,h
hecw2,h
hspd1,h
hspe1,h
htr2b,h
hjurp,h
hes6,h
hdac4,h
hdlbp,h
htr5b,h
hmcn1,h
hsd17b7,h
hnrnpu,h
h3f3a,h
h3f3aos,h
hhipl2,h
hlx,h
hhat,h
hsd11b1,h
hspa14,h
hacd1,h
hnmt,h
hmcn2,h
hspa5,h
hc,h
hat1,h
hoxd11,h
hoxd10,h
hoxd9,h
hoxd3os1,h
hoxd8,h
hoxd3,h
hoxd4,h
hoxd4-1,h
hoxd1,h
hnrnpa3,h
harbi1,h
hsd17b12,h
hipk3,h
haus2,h
hypk,h
hdc,h
hspa12b,h
h13,h
hck,h
hnf4a,h
hrh3,h
helz2,h
hdac6,h
h2al1m,h
h2al1o,h
hypm,h
h2al1g,h
hs6st2,h
hprt,h
htatsf1,h
hmgb3,h
haus7,h
hcfc1,h
hsf3,h
heph,h
hdac8,h
hmgn5,h
hdx,h
hnrnph2,h
htr2c,h
huwe1,h
hsd17b10,h
hccs,h
hey1,h
hps3,h
hltf,h
hspa4l,h
hdgf,h
hapln2,h
hcn3,h
hax1,h
hormad1,h
hist2h2ab,h
hist2h2ac,h
hist2h2be,h
hist2h3c2,h
hist2h2aa2,h
hist2h2aa1,h
hist2h3c1,h
hist2h4,h
hist2h3b,h
hist2h2bb,h
hfe2,h
hmgcs2,h
hsd3b2,h
hipk1,h
henmt1,h
hadh,h
h2afz,h
hs2st1,h
hint2,h
hrct1,h
hemgn,h
hsdl2,h
hdhd3,h
haus6,h
hacd4,h
hook1,h
hspb11,h
hpdl,h
hectd3,h
hivep3,h
hpcal4,h
heyl,h
hmgb4,h
hpca,h
hdac1,h
hcrtr1,h
hmgn2,h
hmgcl,h
hnrnpr,h
hspg2,h
hp1bp3,h
htr6,h
hspb7,h
h6pd,h
hes2,h
hes3,h
hes5,h
hgf,h
hadha,h
hadhb,h
haus3,h
htt,h
hgfac,h
hmx1,h
htra3,h
hs3st1,h
hopx,h
hopxos,h
hnrnpd,h
hnrnpdl,h
hpse,h
helq,h
hsd17b13,h
hsd17b11,h
hfm1,h
hscb,h
hps4,h
hnf1a,h
hnf1aos1,h
hspb8,h
hrk,h
hectd4,h
hvcn1,h
hpd,h
hcar2,h
hcar1,h
hip1r,h
hip1,h
hspb1,h
hmgb1,h
hsph1,h
hepacam2,h
hilpda,h
hipk2,h
hnrnpa2b1,h
halr1,h
hoxa1,h
hotairm1,h
hoxa2,h
hoxa3,h
hoxaas3,h
hoxa4,h
hoxa5,h
hoxa6,h
hoxa7,h
hoxa9,h
hoxa10,h
hoxa11,h
hoxa13,h
hibadh,h
herc6,h
herc3,h
hpgds,h
hk2,h
htra2,h
hmces,h
h1fx,h
hdac11,h
hrh1,h
h1foo,h
hnrnpf,h
hdhd5,h
hebp1,h
hist4h4,h
h2afj,h
hspbp1,h
hif3a,h
hnrnpul1,h
hipk4,h
hnrnpl,h
hcst,h
hspb6,h
haus5,h
hamp2,h
hamp,h
hpn,h
hrc,h
hsd17b14,h
hps5,h
htatip2,h
herc2,h
hapln3,h
hddc3,h
homer2,h
hdgfl3,h
hikeshi,h
hbb-bt,h
hbb-bs,h
hbb-bh1,h
hbb-y,h
hpx,h
hs3st2,h
hs3st4,h
hirip3,h
hsd3b7,h
htra1,h
hmx3,h
hmx2,h
hras,h
h19,h
hivep2,h
heca,h
hebp2,h
hbs1l,h
h60b,h
hint3,h
hey2,h
hddc2,h
hs3st5,h
hdac2,h
hace1,h
hsf2,h
h2afy2,h
hk1,h
hk1os,h
hkdc1,h
hnrnph3,h
herc4,h
hcn2,h
hmg20b,h
hcfc2,h
hsp90b1,h
hal,h
helb,h
hmga2,h
htra4,h
hgsnat,h
hook3,h
helt,h
hpgd,h
hand2,h
hmgb2,h
hpf1,h
hapln4,h
homer3,h
haus8,h
hsh2d,h
hmgxb4,h
hmox1,h
hhip,h
hook2,h
heatr3,h
herpud1,h
hsf4,h
hsd11b2,h
has3,h
hp,h
hydin,h
hsd17b2,h
hsbp1,h
hsdl1,h
hesx1,h
hacl1,h
hnrnpc,h
haus4,h
homez,h
hmbox1,h
hr,h
htr2a,h
hs6st3,h
hephl1,h
herpud2,h
hyls1,h
hepacam,h
hspa8,h
hinfp,h
h2afx,h
hmbs,h
hyou1,h
hspb2,h
hykk,h
hmg20a,h
hcn4,h
hexa,h
hacd3,h
herc1,h
hmgcll1,h
hcrtr2,h
htr1b,h
hmgn3,h
hemk1,h
hyal2,h
hyal1,h
hyal3,h
hhatl,h
higd1a,h
hormad2,h
h2afv,h
hus1,h
hba-a1,h
hbq1b,h
hba-a2,h
hbq1a,h
hmmr,h
havcr2,h
havcr1,h
hnrnph1,h
hnrnpab,h
hspa4,h
hint1,h
hand1,h
hist3h2ba,h
hist3h2a,h
hs3st3b1,h
hs3st3a1,h
hes7,h
haspin,h
hic1,h
heatr9,h
heatr6,h
hnf1b,h
hsf5,h
hlf,h
hils1,h
hoxb13,h
hoxb9,h
hoxb8,h
hoxb7,h
hoxb5os,h
hoxb6,h
hoxb5,h
hoxb4,h
hoxb3,h
hoxb3os,h
hoxb2,h
hoxb1,h
hap1,h
hspb9,h
hcrt,h
hsd17b1,h
hdac5,h
higd1b,h
hexim1,h
hexim2,h
helz,h
hid1,h
h3f3b,h
hgs,h
hgs-1,h
hmga1b,h
hexdc,h
heatr1,h
hecw1,h
hist1h2bl,h
hist1h2ai,h
hist1h3h,h
hist1h2bm,h
hist1h4j,h
hist1h4k,h
hist1h2ak,h
hist1h2bn,h
hist1h1b,h
hist1h3i,h
hist1h2an,h
hist1h2bp,h
hist1h2bq,h
hist1h2ao,h
hist1h4m,h
hist1h4n,h
hist1h2ap,h
hist1h2br,h
hist1h2ah,h
hist1h2bk,h
hist1h4i,h
hist1h2ag,h
hist1h2bj,h
hist1h4h,h
hist1h2af,h
hist1h3g,h
hist1h2bh,h
hist1h3f,h
hist1h4f,h
hist1h1d,h
hist1h3e,h
hist1h2ae,h
hist1h2bg,h
hist1h2bf,h
hist1h2ad,h
hist1h3d,h
hist1h4d,h
hist1h2be,h
hist1h1e,h
hist1h2ac,h
hist1h2bc,h
hist1h1t,h
hist1h4c,h
hfe,h
hist1h1c,h
hist1h3c,h
hist1h2bb,h
hist1h2ab,h
hist1h3b,h
hist1h4b,h
hist1h4a,h
hist1h3a,h
hist1h1a,h
hist1h2aa,h
hus1b,h
hivep1,h
hrh2,h
higd2a,h
hk3,h
h2afy,h
hnrnpa0,h
hnrnpk,h
habp4,h
hapln1,h
homer1,h
hmgcr,h
hexb,h
hspb3,h
hcn1,h
hmgcs1,h
hs1bp3,h
hpcal1,h
hbp1,h
hdac9,h
hectd1,h
heatr5a,h
hif1a,h
hspa2,h
heatr4,h
hhipl1,h
hsp90aa1,h
has2,h
hgh1,h
hsf1,h
h1f0,h
hdac10,h
hdac7,h
hoxc11,h
hoxc10,h
hoxc5,h
hoxc9,h
hoxc8,h
hoxc6,h
hoxc4,h
hnrnpa1,h
hmox2,h
hic2,h
hira,h
hrg,h
hrasls,h
hes1,h
heg1,h
hacd2,h
hspbap1,h
hcls1,h
hgd,h
htr1f,h
hspa13,h
hunk,h
hlcs,h
hmgn1,h
has1,h
hcfc1r1,h
hs3st6,h
hagh,h
haghl,h
hmga1,h
hsf2bp,h
hnrnpm,h
h2-k1,h
h2-ke6,h
h2-oa,h
h2-dma,h
h2-dmb2,h
h2-dmb1,h
h2-ob,h
h2-ab1,h
h2-aa,h
h2-eb1,h
h2-eb2,h
hspa1b,h
hspa1a,h
hspa1l,h
h2-d1,h
h2-q1,h
h2-q2,h
h2-q4,h
h2-q6,h
h2-q7,h
h2-q10,h
h2-t24,h
h2-t23,h
h2-t22,h
h2-t3,h
h2-m10.2,h
h2-m10.3,h
h2-m11,h
h2-m9,h
h2-m5,h
h2-m3,h
h2-m2,h
hsp90ab1,h
hdgfl2,h
heatr5b,h
hnrnpll,h
haao,h
hrh4,h
hspa9,h
hbegf,h
hars,h
hars2,h
hdac3,h
hsd17b4,h
hmgxb3,h
htr4,h
hdhd2,h
haus1,h
hsbp1l1,h
hrasls5,h
hnrnpul2,h
htr7,h
hectd2,h
hhex,h
hells,h
hoga1,h
hps1,h
hpse2,h
hif1an,h
hps6,h
habp2,h
hspa12a,h
sox17,s0
st18,s0
sntg1,s0
sgk3,s0
snhg6,s0
sulf1,s0
slco5a1,s0
sbspon,s0
stau2,s0
smap1,s0
sdhaf4,s0
sema4c,s0
slc9a4,s0
slc9a2,s0
slc40a1,s0
slc39a10,s0
stat4,s0
stat1,s0
stk17b,s0
sf3b1,s0
satb2,s0
spats2l,s0
sgo2a,s0
stradb,s0
sumo1,s0
spag16,s0
smarcal1,s0
slc11a1,s0
stk36,s0
slc23a3,s0
stk16,s0
speg,s0
stk11ip,s0
slc4a3,s0
sgpp2,s0
