,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Zeb1,0.9751702042450942,0.024829795754905848,3.670567257984366,9.099507e-05,2.2831058e-05,0.0,0.25,2.4869556,2.484632,1.3547442,-2.1688967,7.477495,0.3524026,0.23608156,0.18775210854418836,0.12896986054880433,0.8560265,0.18205206,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Bnc2,0.9623548257909491,0.03764517420905089,3.2411781982193792,3.3536773e-05,7.892214e-06,0.0,0.25,2.4778278,2.4751916,1.5606221,-3.3012543,8.900752,0.12467901,0.08506529,0.0704070407040706,0.044219523166891206,0.25754854,0.07269234,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Trp63,0.9551461754104926,0.044853824589507374,3.058455319550546,0.0003560543,0.00010054668,0.0,0.25,2.3682787,2.5214362,1.4326005,-3.0033836,6.7619467,1.2152565,1.0784948,0.5133846718004973,0.39478182636083825,3.629864,0.9152072,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Scx,0.9591509811774129,0.04084901882258707,3.156165462182741,8.984051e-05,3.3523054e-05,0.0,0.25,2.3528626,2.483057,2.0818386,-6.0079975,10.4177475,0.3252666,0.17597975,0.21158782544921229,0.07588843904633175,1.1458956,0.19046737,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp608,0.9441329595514617,0.0558670404485383,2.8272922448415203,8.273651e-05,2.4577857e-05,0.0,0.25,2.3231394,2.1534872,1.6739609,-2.4255857,7.9805346,0.26072583,0.16118081,0.18005133846718063,0.10814215024740968,0.78306884,0.153995,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Prrx1,0.9489387264717661,0.051061273528233864,2.9223176915041327,4.3748525e-05,1.2376108e-05,0.0,0.25,2.282487,2.2344956,2.408488,-8.14638,10.591797,0.13457994,0.02977957,0.08947561422808974,0.017453891138101616,0.45636678,0.033214986,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Hey2,0.9583500200240288,0.041649979975971196,3.1359119591054756,3.0812505e-05,7.948872e-06,0.0,0.25,2.2578669,2.230854,1.514141,-3.2983866,8.981472,0.08214145,0.03976594,0.06820682068206839,0.03252361673414328,0.27593097,0.03237814,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp521,0.9565478574289147,0.04345214257108532,3.0916704401655393,6.6638284e-05,1.4298678e-05,0.0,0.25,2.2233076,2.1358204,1.4255859,-1.583108,7.853462,0.24385743,0.13927235,0.10817748441510851,0.07890238416553987,0.46292043,0.10756821,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Meis1,0.9647577092511013,0.03524229074889873,3.3096299147520005,0.0002170118,6.05647e-05,0.0,0.25,2.2223797,2.2701044,1.2390642,-2.2946167,6.035144,0.76347977,0.6420565,0.40080674734139077,0.32928475033742965,2.2160704,0.53842044,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Rarb,0.9453344012815379,0.054665598718462105,2.8503039530092087,3.1630443e-05,8.97852e-06,0.0,0.25,2.217053,2.0845141,1.7464973,-3.2861214,7.8691053,0.123212256,0.08686499,0.06270627062706287,0.04448942869995462,0.2753682,0.06793129,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp532,0.9385262314777734,0.061473768522226635,2.7257000983195163,4.24227e-05,1.3046741e-05,0.0,0.25,2.2143142,2.139463,1.5551803,-2.7639523,7.682513,0.15328176,0.09154332,0.1265126512651269,0.07467386414754638,0.50098413,0.09061783,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Snai2,0.9553464156988386,0.0446535843011614,3.063139220577232,7.770096e-05,2.532253e-05,0.0,0.25,2.2099721,2.3700542,1.532979,-4.2560825,7.4644604,0.24752437,0.16950235,0.1826182618261832,0.09712100764732029,0.7974946,0.14746363,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Ascl1,0.9443331998398078,0.05566680016019221,2.8310949789158357,0.00091747567,0.00034105545,0.0,0.25,2.1751304,2.2066746,1.9459118,-4.006092,8.726553,3.4543264,3.2569103,0.7532086541987562,0.41578947368428043,11.067258,2.445414,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Stat2,0.9555466559871846,0.04445334401281542,3.0678431868558103,0.00019908074,5.562872e-05,0.0,0.25,2.157897,2.193554,1.3579608,-2.4997187,6.3713923,0.6978409,0.5135677,0.41987532086540846,0.315879442195276,2.4214153,0.46461153,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Prdm5,0.934120945134161,0.065879054865839,2.651785221428023,2.3660377e-05,9.029875e-06,0.0,0.25,2.1413372,2.089944,1.8645749,-3.1361837,8.288853,0.09057562,0.04808787,0.07334066740007354,0.036122357174988795,0.234554,0.039276518,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Atoh8,0.9311173408089708,0.0688826591910292,2.603980706773381,2.7921826e-05,9.266419e-06,0.0,0.25,2.0449033,2.0001354,1.6640512,-3.659482,8.741137,0.09314253,0.059153844,0.08177484415108201,0.04660368870895136,0.31238526,0.04564089,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Creb5,0.9425310372446937,0.05746896275530633,2.7973236622442985,4.8465736e-05,1.4902841e-05,0.0,0.25,2.0286858,2.0407357,1.6171257,-4.065916,8.329035,0.12394567,0.06549685,0.05903923725705919,0.03301844354475954,0.29984656,0.052953567,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfpm2,0.9637565078093713,0.03624349219062872,3.2805785725017853,4.528221e-05,1.155692e-05,0.0,0.25,2.011411,1.9750957,1.1613778,-2.237237,6.5550995,0.16171606,0.102339335,0.08177484415108201,0.04696356275303591,0.329853,0.07712729,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Nfia,0.961153384060873,0.03884661593912697,3.208512790814173,0.0005964254,0.00018438163,0.0,0.25,1.9402263,1.9673162,1.0307174,-1.4456501,5.5423565,2.5001807,2.8715003,0.5889255592225788,0.6579397210977478,5.63026,2.1482775,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zmat4,0.9451341609931918,0.05486583900680819,2.8464358005092816,4.3277163e-05,1.3685748e-05,0.0,0.25,1.9304206,1.9858618,1.4973154,-4.144294,6.5855484,0.13861379,0.12672123,0.05867253392005882,0.06558704453441146,0.3174714,0.09777104,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Dzip1,0.9171005206247497,0.08289947937525033,2.403588193558834,1.739892e-05,6.8393315e-06,0.0,0.25,1.9138719,1.7936292,1.6116563,-3.374259,7.457796,0.06197279,0.0558251,0.05500550055005514,0.044669365721996895,0.19012888,0.042252682,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp704,0.9547456948338006,0.04525430516619944,3.049146998973466,6.827228e-05,2.2145865e-05,0.0,0.25,1.9105209,1.9502854,1.1905636,-2.3738852,6.22254,0.23028933,0.17643127,0.1690502383571696,0.1202878992352633,0.72211,0.15295964,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Hoxa3,0.9401281537845414,0.0598718462154586,2.753809661865126,1.7442768e-05,6.4324768e-06,0.0,0.25,1.9024198,1.9143715,1.4290888,-3.09297,7.1122875,0.05610555,0.03000454,0.05170517051705183,0.02568600989653637,0.17996684,0.029449284,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Smad5,0.9593512214657589,0.04064877853424109,3.161288222255224,9.796818e-05,3.0843556e-05,0.0,0.25,1.8778927,1.8665419,1.0321003,-1.653779,7.012189,0.3153656,0.3109295,0.23725705903923805,0.23243364822314483,0.9349024,0.24570613,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Nfic,0.9495394473368042,0.05046055266319582,2.9347849914707655,0.00025153146,7.867643e-05,0.0,0.25,1.8746892,1.9878216,0.98228174,-1.8179321,5.3172026,0.79428357,0.7154258,0.47158049138245645,0.4038236617184654,2.7567117,0.59174365,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Gli3,0.9549459351221465,0.04505406487785346,3.0537913046100695,7.594163e-05,2.3326396e-05,0.0,0.25,1.8708009,1.8854518,1.0521753,-1.9785032,5.6633406,0.297397,0.21372391,0.18078474514118137,0.12249212775528118,0.69489413,0.16246004,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Ahdc1,0.9587505006007209,0.04124949939927913,3.14599166589137,7.291288e-05,2.424493e-05,0.0,0.25,1.8482509,1.7874508,1.0416428,-1.330205,5.971079,0.24202381,0.28331205,0.194352768610195,0.21354026090870004,0.7701856,0.2308347,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Nfib,0.9523428113736484,0.0476571886263516,2.994891384807708,0.000253064,9.525418e-05,0.0,0.25,1.8476032,1.9279828,1.3114702,-3.4507828,6.3078012,0.77961475,0.8137244,0.395672900623386,0.2961763382816407,2.148225,0.6733526,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Ski,0.961153384060873,0.03884661593912697,3.208512790814173,0.00014382196,4.662657e-05,0.0,0.25,1.8229612,1.8700371,0.91176087,-1.5529728,5.939996,0.55959255,0.5755595,0.35313531353134653,0.3582995951417556,1.6050873,0.46052712,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Tet1,0.9653584301161394,0.03464156988386058,3.327444781596213,9.62872e-05,3.1015195e-05,0.0,0.25,1.8132979,1.747045,0.9976791,-1.0793743,5.7679377,0.26549304,0.25398588,0.1987532086541994,0.16446243814665418,0.9019006,0.18387417,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Tcf4,0.9325190228273929,0.06748097717260715,2.626043675163757,0.00042842128,0.00015712512,0.0,0.25,1.7991664,1.7936845,1.1924517,-1.7244549,5.8684072,1.4074094,1.5970161,0.5819581958195713,0.5449392712551637,4.1334276,1.2915614,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
2700081O15Rik,0.9469363235883059,0.05306367641169407,2.8817390387652124,7.7725716e-05,2.5592348e-05,0.0,0.25,1.783288,1.7315111,1.1072478,-1.425273,6.787959,0.26659325,0.20274805,0.2101210121012108,0.1484030589293761,0.9576281,0.16274476,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Stat1,0.9523428113736484,0.0476571886263516,2.994891384807708,0.0005340476,0.00018247582,0.0,0.25,1.7822046,1.8042097,1.0675623,-2.219201,5.234435,1.9853276,2.531751,0.6883021635496861,0.6802968960865075,6.269472,1.9328877,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Hey1,0.9291149379255106,0.07088506207448941,2.573172601776021,4.0524203e-05,1.6369706e-05,0.0,0.25,1.7575724,1.8138914,1.5677985,-3.5481062,6.942461,0.089475505,0.101034924,0.07700770077007722,0.06779127305442934,0.28835508,0.08496012,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp146,0.9517420905086104,0.04825790949138964,2.981734146410508,2.1901602e-05,7.767622e-06,0.0,0.25,1.7510666,1.7079024,1.0659231,-1.3940029,6.7353115,0.069673546,0.10112535,0.06307297396406324,0.09127305443094633,0.20855714,0.07925621,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Heyl,0.9142971565879054,0.08570284341209455,2.3672695257630707,3.5643105e-05,1.5297795e-05,0.0,0.25,1.7390914,1.6255617,1.6962328,-4.6283216,7.7530804,0.10817734,0.1221776,0.0876420975430879,0.07323436797120818,0.3694859,0.09141348,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Hif1a,0.9569483380056067,0.04305166199439325,3.1013483486213382,0.00037032267,0.00013370774,0.0,0.25,1.7379988,1.7911739,0.9762779,-2.351862,5.444291,1.2090249,1.7186062,0.5416208287495278,0.6288798920379113,3.5322762,1.3228426,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Aebp1,0.9309171005206247,0.06908289947937529,2.600862870647707,2.8469089e-05,1.4051818e-05,0.0,0.25,1.7342952,1.7214637,1.8586894,-4.689638,8.576145,0.08287484,0.06315757,0.06637330399706655,0.03891138101664407,0.28537977,0.054889005,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zbtb20,0.9443331998398078,0.05566680016019221,2.8310949789158357,0.0005792537,0.00021202449,0.0,0.25,1.712997,1.6798854,1.1488392,-2.1677666,5.8662367,2.1228435,2.463655,0.6274294096076204,0.6167341430500539,6.224528,2.0530555,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Bbx,0.9515418502202643,0.048458149779735726,2.977382939031438,0.00016261204,5.7108926e-05,0.0,0.25,1.7126284,1.7220435,0.98330176,-1.292799,5.3531933,0.56179136,0.72842866,0.32233223322331794,0.3849302744040206,1.4871827,0.5550327,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Nfat5,0.9365238285943132,0.06347617140568684,2.6915102369869706,0.00041304645,0.00015350018,0.0,0.25,1.7110484,1.6227641,1.1411644,-1.5730925,6.56649,1.4829501,1.923617,0.5980931426475887,0.6564552406658986,4.477003,1.6337011,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Camta1,0.9505406487785343,0.04945935122146572,2.9558795902574557,0.000120824305,4.3439453e-05,0.0,0.25,1.6961303,1.6428614,1.013311,-1.425457,5.832264,0.48368403,0.58779705,0.29519618628529276,0.34008097165996953,1.384365,0.43189618,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Runx1,0.9231077292751302,0.07689227072486982,2.4853404641838646,0.0002789136,0.00013350097,0.0,0.25,1.6921052,1.754046,1.6268872,-3.7860394,6.2357025,1.006972,1.0713477,0.46241290795744794,0.3590193432299249,3.0601974,1.0821306,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Esr1,0.9231077292751302,0.07689227072486982,2.4853404641838646,2.2195814e-05,9.0906815e-06,0.0,0.25,1.6870272,1.6183524,1.515974,-3.230257,8.927788,0.09424266,0.06810587,0.06490649064906508,0.042060278902383896,0.23371488,0.05048215,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Erf,0.9411293552262715,0.0588706447737285,2.7717378611210686,3.91375e-05,1.4440632e-05,0.0,0.25,1.6847495,1.7160645,1.134389,-2.6075516,5.6229353,0.12577908,0.14390652,0.10304363769710335,0.11524966261807958,0.33368084,0.11447843,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp651,0.9413295955146176,0.05867040448538241,2.775357762186664,3.4551205e-05,1.2613071e-05,0.0,0.25,1.6835171,1.673006,1.0631357,-1.9727535,5.1089125,0.11587808,0.072784215,0.1059772643931063,0.06347278452541472,0.42440695,0.061773602,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Mef2a,0.959951942330797,0.04004805766920305,3.176802809163512,0.00026900505,9.481659e-05,0.0,0.25,1.6814039,1.6509352,0.92302454,-1.4569521,6.168647,0.97946984,1.3147168,0.4910157682434745,0.5819613135403734,2.879017,1.0178164,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Pbx1,0.9573488185822988,0.04265118141770119,3.1111126189021268,0.00070523465,0.00025321,0.0,0.25,1.6699259,1.6623201,0.93215156,-1.3358068,4.95702,2.7895055,3.3865519,0.6740007334066707,0.7306342780028496,6.8577156,2.6009042,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Rest,0.9573488185822988,0.04265118141770119,3.1111126189021268,0.00011902014,4.1782034e-05,0.0,0.25,1.6672758,1.6334863,0.9519577,-1.2231712,4.78734,0.4261119,0.41735387,0.29336266960029106,0.2654520917679126,1.4422488,0.34527603,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
