,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Kif11,0.9634,0.036599999999999966,3.270420190944699,4.8104666e-05,3.8102269e-06,0.0,0.25,3.3254879,3.254571,3.3037484,-7.889103,15.708141,0.1772853,0.010669828,0.06094182825484767,0.010669828097213986,0.16999555,0.008440921,True,3 vs Rest,3,Rest
Plat,0.9638,0.03620000000000001,3.2818244195070476,0.00019940065,1.907308e-05,0.0,0.25,3.093761,3.20724,2.8614104,-7.3859215,12.33499,0.21606643,0.09365738,0.08864265927977842,0.06520450503852984,0.19173126,0.076692484,True,3 vs Rest,3,Rest
Gm47547,0.9636,0.03639999999999999,3.276107231750535,7.858998e-05,8.4741805e-06,0.0,0.25,3.0467803,3.0494509,2.3639476,-5.098445,11.192805,0.08864263,0.062240664,0.06925207756232689,0.05512744516893889,0.10339736,0.052492727,True,3 vs Rest,3,Rest
Ckap2,0.9568,0.043200000000000016,3.0977536669163523,0.00018416649,1.8401834e-05,0.0,0.25,2.7301247,2.8061986,3.2326183,-10.080195,13.036979,0.14404431,0.04030824,0.06648199445983381,0.03675163011262597,0.16079018,0.030354874,True,3 vs Rest,3,Rest
Tpx2,0.949,0.051000000000000045,2.9235829803445967,3.7539117e-05,4.7971025e-06,0.0,0.25,2.5374768,2.5554204,2.4857988,-6.3885965,12.269058,0.11357338,0.036158863,0.07202216066481996,0.03200948429164199,0.099892154,0.028169489,True,3 vs Rest,3,Rest
Nusap1,0.9514,0.04859999999999998,2.974310857841264,0.000109969464,1.2901236e-05,0.0,0.25,2.4677286,2.424683,2.6182466,-6.5645885,12.521843,0.13573407,0.032009486,0.06925207756232689,0.028452874925903995,0.15420234,0.026637418,True,3 vs Rest,3,Rest
Card14,0.9542,0.04579999999999995,3.036588994101264,5.5089546e-05,1.3021796e-05,0.0,0.25,2.4239824,2.4202838,2.7501552,-6.968981,12.361319,0.08864264,0.048014227,0.05817174515235459,0.037937166567871966,0.12367683,0.041387286,True,3 vs Rest,3,Rest
Cftr,0.952,0.04800000000000004,2.987363826054364,0.00010364844,2.1085178e-05,0.0,0.25,2.40865,2.3637452,2.4066474,-5.3380327,11.816114,0.16343486,0.08654416,0.08864265927977842,0.06342620035566085,0.2344823,0.074475855,True,3 vs Rest,3,Rest
Tacr1,0.9508,0.04920000000000002,2.961409919253223,6.251933e-05,1.1480461e-05,0.0,0.25,2.3291655,2.2963166,2.2716234,-4.7650166,9.613579,0.18005535,0.08832247,0.11080332409972303,0.06876111440426783,0.217349,0.081050925,True,3 vs Rest,3,Rest
Zfhx4,0.9526,0.0474,3.0005726591928727,4.3745524e-05,8.718599e-06,0.0,0.25,2.3209577,2.2839112,2.4698973,-9.166606,13.596937,0.110803306,0.05986959,0.055401662049861515,0.04386484884410194,0.1220997,0.05086278,True,3 vs Rest,3,Rest
Spata13,0.9582,0.04179999999999995,3.132159956120126,5.12201e-05,1.2297629e-05,0.0,0.25,2.2635162,2.2901764,2.2807326,-5.88535,10.372956,0.15789466,0.079430945,0.12742382271468147,0.06639004149377584,0.21475618,0.063854024,True,3 vs Rest,3,Rest
Ect2,0.9526,0.0474,3.0005726591928727,0.00011843871,2.6003077e-05,0.0,0.25,2.2402585,2.363575,2.459866,-6.69643,11.589666,0.13573405,0.06579728,0.05817174515235459,0.05097806757557791,0.1694483,0.05560646,True,3 vs Rest,3,Rest
