,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ntrk3,0.9844,0.015599999999999947,4.14476077339445,0.00010368342,7.269252e-06,0.0,0.25,6.2764516,6.636273,3.965381,-8.906896,20.763044,0.31024933,0.11088003,0.13850415512465378,0.0410757946210272,0.46742857,0.08180392,True,3 vs Rest,3,Rest
Gpc5,0.978,0.02200000000000002,3.794466772356098,0.00011651832,1.3065728e-05,0.0,0.25,5.0328584,5.289447,4.269574,-10.252022,17.918064,0.46260393,0.25006074,0.14127423822714685,0.06234718826406005,0.68030685,0.18141271,True,3 vs Rest,3,Rest
Sntb1,0.9814,0.01859999999999995,3.965818015491911,0.00010445702,1.1502345e-05,0.0,0.25,4.8379345,5.039961,2.9917262,-5.2244215,14.526573,0.36842117,0.59397095,0.17451523545706377,0.22365525672370754,0.5504211,0.39473066,True,3 vs Rest,3,Rest
Trpv3,0.9808,0.019199999999999995,3.9334577755107722,1.8664787e-05,3.2898502e-06,0.0,0.25,4.604988,4.7764325,3.162122,-7.104328,14.639251,0.11634344,0.03691925,0.1024930747922438,0.029645476772615965,0.15556006,0.0257038,True,3 vs Rest,3,Rest
Ifnlr1,0.9802,0.01980000000000004,3.9020741999265773,5.8527607e-05,4.4030594e-06,0.0,0.25,4.4816256,4.596081,2.5803006,-5.1464815,12.9403925,0.18005534,0.034657646,0.1357340720221607,0.029951100244498603,0.24862693,0.027128667,True,3 vs Rest,3,Rest
Kirrel,0.9814,0.01859999999999995,3.965818015491911,5.564823e-05,6.722507e-06,0.0,0.25,4.414679,4.5364623,3.2353575,-6.595932,13.09834,0.3961222,0.063141696,0.2853185595567865,0.048594132029340535,0.57145965,0.05146439,True,3 vs Rest,3,Rest
Robo2,0.9822,0.017800000000000038,4.010595944690734,0.0005019836,4.8290287e-05,0.0,0.25,4.223775,4.4515734,2.6534271,-5.509697,12.768523,4.465371,1.2287517,0.6620498614958411,0.31998777506110976,6.2087035,0.87930274,True,3 vs Rest,3,Rest
Als2,0.9774,0.022599999999999953,3.766945646311264,2.7326912e-05,3.3785905e-06,0.0,0.25,4.0828123,4.173199,2.5500963,-6.3589296,12.905929,0.16620493,0.15709016,0.13296398891966763,0.11864303178483888,0.2243248,0.10135623,True,3 vs Rest,3,Rest
Gpr176,0.9706,0.02939999999999998,3.4969194327933892,8.612336e-05,9.81219e-06,0.0,0.25,4.0756893,4.2156916,3.3411906,-6.6240406,18.616055,0.32409987,0.07768935,0.16897506925207761,0.04944987775061197,0.43125886,0.053963795,True,3 vs Rest,3,Rest
Zcchc24,0.9716,0.02839999999999998,3.532554710140545,2.501756e-05,3.931781e-06,0.0,0.25,4.0122504,4.141379,2.763867,-6.882428,13.295752,0.19113563,0.061430216,0.16343490304709146,0.04211491442542823,0.26991695,0.045008723,True,3 vs Rest,3,Rest
Mybpc2,0.9752,0.024800000000000044,3.671798532024705,5.662981e-05,6.7304045e-06,0.0,0.25,3.8538165,3.8882508,2.394867,-4.509878,11.545481,0.1274238,0.09828833,0.1024930747922438,0.065953545232275,0.17112996,0.059923995,True,3 vs Rest,3,Rest
Sobp,0.9746,0.025399999999999978,3.6472775729448257,0.00014601497,1.9342055e-05,0.0,0.25,3.84836,3.976563,2.8756824,-6.7585535,12.965501,1.2077556,0.27402148,0.4819944598337929,0.13465770171148825,1.6680713,0.21349506,True,3 vs Rest,3,Rest
Scn3b,0.9688,0.031200000000000006,3.4356397872327245,5.0478833e-05,9.242131e-06,0.0,0.25,3.809047,3.6343021,3.178523,-6.8699408,17.759357,0.38781187,0.08875289,0.26038781163434904,0.05782396088019674,0.48277932,0.06588165,True,3 vs Rest,3,Rest
Mkx,0.9716,0.02839999999999998,3.532554710140545,2.638513e-05,4.360474e-06,0.0,0.25,3.8004625,3.949542,2.9625561,-7.846671,14.2505245,0.16620494,0.05348402,0.11080332409972303,0.03533007334963327,0.22411488,0.04464494,True,3 vs Rest,3,Rest
Zfp521,0.974,0.026000000000000023,3.623314391272682,0.00016467692,1.7110593e-05,0.0,0.25,3.7934449,3.9021678,3.3313124,-7.6062126,13.252532,1.2576169,0.18520747,0.4182825484764528,0.10042787286063466,1.805011,0.13136768,True,3 vs Rest,3,Rest
Ppp2r2b,0.971,0.029000000000000026,3.5110303037759842,6.443676e-05,9.0327285e-06,0.0,0.25,3.7649105,3.9056382,3.7429028,-10.430347,16.716442,0.3074793,0.104828686,0.14404432132963993,0.04517114914425479,0.45990396,0.08027786,True,3 vs Rest,3,Rest
Kcnip4,0.9702,0.02980000000000005,3.4829935170364954,0.00021198824,1.9157811e-05,0.0,0.25,3.7648344,3.792644,4.0589585,-9.006235,20.142511,0.5180056,0.31925392,0.10803324099722995,0.043948655256724166,0.7996722,0.1968926,True,3 vs Rest,3,Rest
Ldlrad4,0.9756,0.024399999999999977,3.688469134456731,0.00022466388,2.9717377e-05,0.0,0.25,3.6742404,3.7258534,3.0937233,-5.9882717,12.767227,1.5318551,0.30287227,0.43767313019390414,0.12188264058679467,2.230556,0.23469006,True,3 vs Rest,3,Rest
Crp,0.9808,0.019199999999999995,3.9334577755107722,0.00015723325,1.9952606e-05,0.0,0.25,3.6528375,3.784433,2.2692525,-5.605315,12.956375,0.7091414,0.18624659,0.2908587257617726,0.09504889975550053,0.8986496,0.13043064,True,3 vs Rest,3,Rest
Sorcs2,0.9766,0.023399999999999976,3.731340712153176,0.00011983347,1.4389394e-05,0.0,0.25,3.641205,3.6924891,2.270884,-5.8287096,10.526662,0.7202215,0.23227338,0.3795013850415501,0.13471882640586477,0.9680066,0.16072932,True,3 vs Rest,3,Rest
