x,Neuroepithelium-a,Interneuron,Neuroepithelium-b,RGC-a,immature_neuron,Layer I,Pia,RGC-b,IPC-a,Endothelial cell,IPC-b (mitotic),Microglia,Layer V-VI-a,RGC-c,Layer-V-VI-b,Layer II-IV,Pericyte,Hippocampus,OPC
0610005C13Rik,0.0029636181,0.0057641827,0.0,0.0032710761,0.0018028072,0.0,0.0,0.0,0.0,0.0,0.0025910742,0.0,0.0,0.0035809232,0.0041449815,0.0054294295,0.0,0.003486044,0.0034109377
0610007N19Rik,0.090488,0.0076719495,0.089044675,0.3019272,0.039066862,0.037589494,0.2006562,0.2023579,0.24865168,0.0,0.10607879,0.0,0.010365431,0.2553736,0.0026829168,0.00048475,0.09582238,0.006712328,0.21019629
0610007P14Rik,0.28302068,0.17578708,0.35944673,0.27402455,0.15806642,0.25880787,0.36524653,0.32883647,0.19453765,0.073187895,0.25190708,0.22631836,0.2479787,0.43480045,0.27857205,0.29174936,0.0,0.25255215,0.46820724
0610009B22Rik,0.2004235,0.10626276,0.19834739,0.15866277,0.1281611,0.3130037,0.1503165,0.16307363,0.14434518,0.08594761,0.2050098,0.17717609,0.18416132,0.18847494,0.17009671,0.14069968,0.20110634,0.21587156,0.2685597
0610009D07Rik,0.98806727,0.5607228,0.83721143,0.8409092,0.7036165,0.7855115,0.812963,0.8619749,0.7680742,0.4862497,0.81042224,0.8260574,0.79150444,0.86785483,0.6892,0.6214,0.6622412,0.7034296,0.8601183
0610009E02Rik,0.15078907,0.018185306,0.105707556,0.13706075,0.011063217,0.01857736,0.024174312,0.11569266,0.09175065,0.16171695,0.07601114,0.0,0.010715537,0.14862563,0.012196466,0.004960745,0.046895005,0.003486044,0.19033389
0610009L18Rik,0.01926392,0.0472357,0.01621286,0.03918144,0.028816683,0.026159123,0.006509477,0.028841507,0.03376379,0.0065782117,0.012123629,0.0,0.024037868,0.038451344,0.06497421,0.047021393,0.0,0.0617948,0.09982123
0610009O20Rik,0.10009382,0.0678305,0.13142996,0.08807243,0.064313225,0.11730942,0.07573715,0.1160388,0.07547547,0.035771586,0.15309165,0.04875509,0.052153297,0.1798391,0.066098094,0.05754801,0.03755569,0.07838969,0.1597514
0610010F05Rik,0.25858107,0.6072275,0.22388582,0.15859044,0.55617154,0.54027694,0.21391578,0.18085283,0.28797594,0.25206384,0.34190273,0.062058344,0.7194747,0.18767172,0.90000886,0.6872873,0.27413395,0.66884863,0.21254323
0610010K14Rik,0.015394286,0.020759903,0.07450555,0.029980022,0.026808847,0.0294113,0.063328646,0.027029818,0.041483138,0.056160692,0.033658337,0.047226068,0.04663878,0.041047577,0.02625143,0.051142506,0.0,0.048076253,0.037265163
0610011F06Rik,0.29413912,0.15222466,0.3543641,0.24646258,0.21610035,0.25800645,0.2363821,0.20342621,0.21771856,0.23185363,0.17770152,0.089039415,0.16813561,0.2807211,0.10915468,0.19043756,0.10461546,0.23193593,0.22517829
0610025J13Rik,0.0023001947,0.0,0.0072528645,0.0032465088,0.0,0.004629951,0.0,0.0,0.005073896,0.0,0.0,0.0,0.0011966444,0.009926252,0.0,0.0,0.0,0.0,0.0
0610030E20Rik,0.17181367,0.07241122,0.2039432,0.12577419,0.10465246,0.114681035,0.17632301,0.18012692,0.16539598,0.11237059,0.22890198,0.11270864,0.108449176,0.23829222,0.117126524,0.099641964,0.37139854,0.10631883,0.09686467
0610031J06Rik,0.071657486,0.037063908,0.1338557,0.049498826,0.054968454,0.09103101,0.12576692,0.039003618,0.092709124,0.43627217,0.047652952,0.16650243,0.051719878,0.07139857,0.07748169,0.048154294,0.19830132,0.04743584,0.108534284
0610037L13Rik,0.26973882,0.17280033,0.26777712,0.20783569,0.18616456,0.16333213,0.26829144,0.27415612,0.25429985,0.38640702,0.21921864,0.079373255,0.19180043,0.39946106,0.18114069,0.1306272,0.23568642,0.27367604,0.25813624
0610038L08Rik,0.0053398027,0.0,0.0,0.0,0.0005484554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125157,0.0021080857,0.0,0.0,0.0,0.0044477745,0.0
0610039K10Rik,0.0,0.0,0.0078012063,0.0,0.0,0.0,0.0,0.0018592075,0.0021050521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008298355,0.0
0610040B10Rik,0.02158362,0.025084771,0.030337669,0.01954387,0.009010942,0.028222032,0.028391331,0.019433143,0.017997267,0.0,0.012948963,0.0,0.024691736,0.01593154,0.04709057,0.014030691,0.0,0.015330095,0.028908988
0610040J01Rik,0.0,0.0,0.05050472,0.009167338,0.0008378311,0.0,0.016101541,0.00092158985,0.0016248941,0.0,0.0,0.07405467,0.0,0.024840891,0.0,0.0,0.0,0.0,0.07306978
1010001B22Rik,0.0025652181,0.0,0.0,0.006827801,0.0,0.0,0.007528923,0.0028875936,0.0026247469,0.0,0.0032408838,0.0,0.0,0.0031918113,0.0,0.0,0.0,0.0,0.013994873
1110001A16Rik,0.23717004,0.09601978,0.21343166,0.22313632,0.14573717,0.2550683,0.34860775,0.20160061,0.19548498,0.29790926,0.12957025,0.5287383,0.17611416,0.230649,0.28434047,0.1823338,0.085269116,0.24854207,0.22454008
1110001J03Rik,0.42781675,0.17326236,0.41556427,0.3605215,0.21211629,0.4132311,0.28458855,0.3582256,0.2377716,0.3338167,0.2649336,0.27281314,0.24471009,0.5124379,0.21976723,0.22604512,0.2600559,0.3294046,0.5011319
1110002E22Rik,0.0009920967,0.0,0.0,0.0,0.0007809221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110002L01Rik,0.09671322,0.07604906,0.06902336,0.07668726,0.08860872,0.11988906,0.13029456,0.05331032,0.08615045,0.0,0.06992594,0.095206626,0.12058231,0.08675987,0.22053617,0.18341792,0.2065549,0.19991195,0.07474854
1110004E09Rik,0.3737943,0.12350302,0.40486482,0.30416882,0.18468516,0.3240346,0.26965395,0.22553894,0.2301552,0.40202954,0.17899899,0.29899096,0.24286625,0.30712685,0.25591704,0.25130206,0.0,0.26935616,0.30362818
1110004F10Rik,1.081835,1.0204086,0.98350775,0.8930569,1.0040939,0.95797056,0.8234945,1.04551,1.01078,0.6868879,1.1183723,0.47380358,1.072076,1.1124688,1.1036383,1.0378923,0.88112503,0.95443773,0.8523543
1110006G14Rik,0.0060182787,0.0,0.027838998,0.0029851934,0.0017622312,0.0,0.0,0.0016312596,0.0076076463,0.0,0.0069757537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207832
1110007C09Rik,0.023803905,0.014219914,0.05635224,0.028327348,0.063483156,0.10738946,0.15781195,0.01951893,0.06729346,0.27693754,0.047623012,0.22485647,0.024202684,0.024974165,0.06964526,0.029738257,0.068879135,0.04261824,0.063023016
1110008F13Rik,0.50838494,0.2834843,0.57528055,0.32238704,0.383042,0.39541966,0.44875222,0.35486946,0.35692444,0.62282544,0.38108054,0.936885,0.47145948,0.40560988,0.4073919,0.36361423,0.40855044,0.45981568,0.3660961
1110008J03Rik,0.043745175,0.04323262,0.06493665,0.035111435,0.06730974,0.08507221,0.08884917,0.053314097,0.03897125,0.017582398,0.040230267,0.021553593,0.086196065,0.06016088,0.06979208,0.075422555,0.17954764,0.08471545,0.069001205
1110008L16Rik,0.06988224,0.01468745,0.09416858,0.05066887,0.041169275,0.05890073,0.050635494,0.03938731,0.068781815,0.04487658,0.057347562,0.021553593,0.040167484,0.035578985,0.056803223,0.032502826,0.065368444,0.06064443,0.0076356577
1110008P14Rik,0.12693141,0.06478993,0.1135725,0.08061188,0.19869195,0.31976983,0.12592125,0.082846634,0.11050668,0.048306823,0.097488135,0.29182982,0.3206294,0.07178626,0.3393481,0.27886432,0.10942809,0.3267314,0.1271528
1110012L19Rik,0.07329775,0.053285226,0.07668435,0.11832702,0.07437415,0.20127359,0.08121236,0.08384642,0.1500846,0.07631607,0.11116425,0.13336906,0.06237536,0.1318519,0.090295084,0.08940078,0.030453943,0.1018901,0.105222255
1110017D15Rik,0.010563648,0.02099509,0.06252191,0.0019470244,0.01226432,0.026610546,0.030378161,0.011645058,0.0016854989,0.0,0.0022844812,0.0,0.013572905,0.013885857,0.015132507,0.020638471,0.0,0.02222158,0.030840859
1110019D14Rik,0.020315835,0.010477985,0.03734655,0.013080007,0.008267566,0.021136412,0.074674025,0.020448951,0.013903236,0.0,0.0032203528,0.0,0.007814937,0.02487531,0.015664946,0.0052091046,0.0,0.0036475835,0.028404802
1110020A21Rik,0.02147372,0.015078555,0.038593374,0.021389503,0.01472526,0.023819344,0.012497054,0.022195682,0.014127972,0.017420605,0.029433696,0.082897544,0.013668733,0.056181915,0.022985326,0.015696641,0.0,0.04302061,0.035061914
1110032A03Rik,0.085188985,0.10124592,0.11110643,0.08064851,0.088798456,0.13670954,0.15610586,0.063283294,0.09959076,0.012225116,0.087410055,0.022538574,0.086005405,0.12269724,0.12807956,0.0883737,0.063311204,0.13995568,0.14329927
1110032F04Rik,0.0063954154,0.013335484,0.0,0.026853656,0.00291686,0.0,0.0,0.023659585,0.0020404444,0.0,0.011013,0.0,0.0034595586,0.038056023,0.0,0.0069206576,0.0,0.0029500371,0.05048801
1110034G24Rik,0.033072192,0.03802112,0.046106827,0.030960524,0.044260602,0.08643061,0.049498655,0.029028058,0.04905119,0.16332096,0.035682354,0.0,0.05179729,0.04824669,0.09228756,0.03962658,0.0,0.058789376,0.020913022
1110035M17Rik,0.0,0.008704369,0.012641833,0.0012313527,0.005625524,0.0054645976,0.0,0.0013853646,0.0,0.03116066,0.0,0.020186827,0.008652521,0.0025454306,0.024463167,0.010412288,0.0,0.024939926,0.0064410837
1110037F02Rik,0.31882247,0.16862844,0.32650137,0.18640432,0.24631155,0.3280383,0.3018546,0.2989557,0.21983539,0.2472103,0.33850393,0.19938082,0.23654114,0.3560809,0.20074178,0.19343191,0.23902893,0.28342113,0.24104197
1110038B12Rik,1.1745913,0.40640995,0.900076,0.7133129,0.54102194,0.6127439,0.8687232,0.7279549,0.68764955,0.4485497,0.6801368,0.46780878,0.5384752,0.68268955,0.7783893,0.5204856,0.6446881,0.54910946,0.4624843
1110038F14Rik,0.350571,0.1841616,0.27103195,0.2708425,0.29699495,0.23101963,0.41943255,0.297657,0.33552957,0.38011283,0.239966,0.10307847,0.26074365,0.32851642,0.21986529,0.2417077,0.21199232,0.29838842,0.38031
