"","cytoGenes"
"0610005C13Rik",0.0110803571982733
"0610009B22Rik",0.114234012118716
"0610010F05Rik",0.125194684128575
"0610010K14Rik",0.115327827135299
"0610012D04Rik",0.00982453360916598
"0610012G03Rik",0.0811010304464672
"0610025J13Rik",0.00881968583601389
"0610030E20Rik",-0.00105129853774176
"0610033M10Rik",-0.011515020234194
"0610038B21Rik",-0.00927491173006067
"0610039K10Rik",0.0604966659206656
"0610040B10Rik",0.0550150398553824
"0610040F04Rik",0.0359818927912872
"0610040J01Rik",-0.0305587227946149
"0610043K17Rik",-0.0915392098469674
"0710001A04Rik",0.0219748990554742
"1010001B22Rik",-0.00612851100831513
"1100001I12Rik",0.0250128005481539
"1110002E22Rik",0.0253364383702846
"1110002J07Rik",0.0599343693109906
"1110002L01Rik",0.0359614227528751
"1110002O04Rik",0.00607012227464583
"1110004F10Rik",0.143262513167754
"1110006O24Rik",0.0332975266416219
"1110008P14Rik",0.1156074028976
"1110012L19Rik",0.03008634313297
"1110017D15Rik",0.0997145591435745
"1110019B22Rik",-0.0148658053601241
"1110019D14Rik",0.0101948633430693
"1110020A21Rik",0.0100815570140342
"1110028F18Rik",0.00799445276651485
"1110032A03Rik",0.0832667721588172
"1110032F04Rik",0.10117656024132
"1110035H17Rik",0.0277431058714444
"1110038F14Rik",0.0251648962237868
"1110046J04Rik",-0.01049885030024
"1110051M20Rik",0.0652933201928133
"1110059E24Rik",0.0583057959945015
"1110059G10Rik",0.060807056242499
"1110065P20Rik",0.162258537268159
"1190001M18Rik",0.0124908933797758
"1190005I06Rik",0.148208528029375
"1190007I07Rik",0.120765273010437
"1190028D05Rik",0.0151477138220651
"1200007C13Rik",-0.0338951202539509
"1300002E11Rik",0.0412700325887482
"1300014J16Rik",-0.0343979440244003
"1300017J02Rik",0.214095919049498
"1500002C15Rik",0.0154301710852295
"1500009C09Rik",0.0071515702431585
"1500009L16Rik",0.144664547074911
"1500011B03Rik",0.0784552197607546
"1500015A07Rik",0.00662693998821086
"1500015L24Rik",-0.015841327746788
"1500035N22Rik",0.0178877978612537
"1520401A03Rik",0.0489511588436035
"1600002K03Rik",0.176048367580369
"1600010M07Rik",0.0241568251967224
"1600012H06Rik",0.0705544780069271
"1600012P17Rik",0.089302538213201
"1600014C10Rik",-0.0304588264154944
"1600014C23Rik",-0.0038481074613789
"1600020E01Rik",0.0327653491839358
"1700001C02Rik",0.0729948395896991
"1700001C19Rik",0.0203207869332069
"1700001G01Rik",0.0711306194195652
"1700001J03Rik",0.0099527972851298
"1700001K19Rik",0.0048031008904473
"1700001L05Rik",0.115203209851941
"1700001L19Rik",0.0422491066652493
"1700001O22Rik",0.0714891735491886
"1700001P01Rik",0.0343791203680105
"1700003E16Rik",0.0569687171915263
"1700003F12Rik",0.0106998498301461
"1700003I16Rik",0.0718977742102222
"1700003L19Rik",0.0430905918495533
"1700003M07Rik",-0.00862476847890165
"1700003P14Rik",0.00607712835711596
"1700007F19Rik",0.00988399990021379
"1700007K13Rik",0.0530426891932921
"1700008B11Rik",-0.0069330312174213
"1700008J07Rik",0.055946297602006
"1700008O03Rik",0.0747909834467188
"1700009J07Rik",0.0330373841450569
"1700010B08Rik",0.0298168107146027
"1700010G06Rik",0.0206354622457975
"1700010H22Rik",0.0179159013151487
"1700010I02Rik",0.0470447928128302
"1700010I14Rik",0.0825967171478152
"1700010K23Rik",0.0275431557113229
"1700010K24Rik",0.00864291380526477
"1700011D18Rik",0.0209174657364848
"1700011L03Rik",0.0085582807116822
"1700012B07Rik",0.0198870668531154
"1700012B09Rik",0.0805392732444151
"1700012C14Rik",0.0178149003254056
"1700012P22Rik",0.0767058990380464
"1700013D24Rik",0.0171833375053622
"1700013F07Rik",0.0485707983887485
"1700013G24Rik",0.00829850766971321
"1700013H16Rik",0.0202411248974564
"1700015H07Rik",0.013738672405425
"1700015I17Rik",0.0115664586701824
"1700015O11Rik",0.0048103117011495
"1700016C15Rik",-0.0307943630242122
"1700016D06Rik",0.0197253832200109
"1700016F12Rik",0.0160707916570985
"1700016G22Rik",0.0215887178146828
"1700016H13Rik",0.0272436519633573
"1700016K19Rik",0.152532021699634
"1700016L21Rik",0.0361396829889372
"1700017B05Rik",0.00114889916377883
"1700017D01Rik",0.0217366262530906
"1700017G19Rik",0.0165175332257451
"1700017M07Rik",0.0255114163472592
"1700018A04Rik",0.0351524280472029
"1700018B08Rik",0.019783878133509
"1700018L02Rik",-0.0145614290690141
"1700019A02Rik",0.0230163133165296
"1700019C18Rik",-0.00586972728320851
"1700019D03Rik",-0.0029578832946263
"1700019G24Rik",0.0640199528757398
"1700019J19Rik",-0.0192248445054219
"1700019L13Rik",0.00660639841564422
"1700020A23Rik",0.00506697668657668
"1700020D05Rik",-0.000703743660874299
"1700020L24Rik",-0.0334138625429329
"1700020N18Rik",0.0694462453917088
"1700021F05Rik",0.0951515096495106
"1700021L23Rik",0.0127961904335899
"1700022I11Rik",0.0207866431630987
"1700022N22Rik",0.0365573576029994
"1700023F02Rik",0.00635468034328177
"1700023F06Rik",0.0303124449862415
"1700024B18Rik",0.0250633481826757
"1700024G13Rik",0.103964732693467
"1700024I08Rik",0.0340468122101991
"1700025G04Rik",-0.0969365481695865
"1700025M24Rik",0.00454142667620649
"1700025N21Rik",0.00744361791626035
"1700025N23Rik",0.00850109213169932
"1700026D11Rik",0.00672470817096675
"1700026J12Rik",0.013843869176182
"1700026J14Rik",0.0421196777680094
"1700027A07Rik",0.0265165247889952
"1700027A15Rik",0.0141768562656949
"1700027F09Rik",0.0198742220399338
"1700027J07Rik",0.00459942079600453
"1700028D13Rik",-0.0553238196397318
"1700028J19Rik",0.0298453700257656
"1700028K03Rik",0.0110918726754018
"1700028P14Rik",0.0491206285924249
"1700029F12Rik",0.0494839473159921
"1700029H14Rik",0.014318965209082
"1700029I15Rik",0.00767543296501211
"1700029J03Rik",0.0159398130838104
"1700029J07Rik",0.0249441585491945
"1700029N11Rik",0.0578624308542665
"1700029P11Rik",-0.00101305024057805
"1700030A11Rik",0.00444902808940559
"1700030C14Rik",-0.0365625632620782
"1700030J22Rik",0.0885880716045273
"1700030K09Rik",0.0234388371376505
"1700030O20Rik",-0.00633676645388709
"1700031P21Rik",0.00704080224827266
"1700034H15Rik",-0.0197452078259631
"1700034I23Rik",-0.0133017935945281
"1700034J05Rik",-0.0306778591754982
"1700034K08Rik",0.0255644410687117
"1700034P13Rik",0.103316342800901
"1700036A12Rik",0.0391632511079274
"1700037C18Rik",0.0651981234319154
"1700037F03Rik",0.0225290885510099
"1700037H04Rik",0.0534066966722417
"1700039M15Rik",-0.0284324476016654
"1700040D17Rik",0.00683194488464647
"1700040F17Rik",-0.00381478996364937
"1700040L08Rik",0.0266789336175376
"1700041C23Rik",0.00931080112259398
"1700041G16Rik",0.0260499222219527
"1700041M19Rik",0.00714104077910603
"1700042D02Rik",0.00164770389059859
"1700042G07Rik",0.0169275607110027
"1700042O10Rik",0.0198692353626662
"1700045H11Rik",0.00512391108458808
