,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,mean,std,cytoGenes,gcsGenes
Cib1,False,33562,3.7083995,38.756592032992096,203224.0,33562,4.1574887185888604e-11,0.6495416739757485,0.635096599518751,0.585359535986888
Cyba,False,37370,10.2235365,31.8078137260269,560260.0,37370,-2.0426192155273043e-10,1.0099123917889195,0.630358031537713,0.582408430383111
S100a14,False,34635,8.621485,36.79859856571961,472466.0,34635,3.800479773457971e-10,1.0516128623780405,0.626537655216686,0.581737558256849
Srgn,False,42751,29.102991,21.98864984215616,1594873.0,42751,1.726973980468973e-11,1.2530546162828071,0.621604075287216,0.572852527798561
Rplp2,False,46940,18.799583,14.344628747650589,1030236.0,46940,3.680234956619651e-11,0.6960801948639698,0.617434973424921,0.558011257404422
Rpl41,False,50517,33.98615,7.817375595335852,1862475.0,50517,-2.292265384611427e-10,0.5514018054506163,0.613004309424024,0.557472763749854
Gapdh,False,38636,6.55603,29.497636904436053,359277.0,38636,-6.559187196656481e-11,0.6905384693876261,0.610668494049439,0.554643510716897
Hagh,False,34363,5.6772504,37.29493987335998,311119.0,34363,2.9493779715246165e-10,0.879436943756877,0.609611413533367,0.548180975714543
Eif5a,False,36145,4.18642,34.04317439462784,229420.0,36145,-1.3928924978161668e-11,0.6283350692115343,0.60946528515029,0.547778958116386
Atp5e,False,43270,10.036003,21.041586832357073,549983.0,43270,-8.203821497347563e-11,0.5885821532249769,0.607166279401721,0.541257469036815
Rps26,False,47983,21.375595,12.441378806956083,1171404.0,47983,1.3768220734627277e-10,0.7007080037281206,0.602099659254786,0.540154277991945
Cd74,False,53154,136.23401,3.0054196091312213,7465760.0,53154,1.859616421725587e-10,1.1201223582366557,0.59858556264201,0.539564393887292
Psme2,False,33666,3.510976,38.566814474188426,192405.0,33666,1.5510325324309882e-11,0.645653105179735,0.597678679032092,0.538435564315528
Lrrc42,False,31120,3.8565903,43.212715096439844,211345.0,31120,-1.1415052723293795e-10,0.8230002694034094,0.597500421423811,0.538132987014756
Rplp0,False,46768,21.342604,14.658491633364356,1169596.0,46768,7.731160956032493e-11,0.8152158259837926,0.593884424011928,0.535240465836339
Cox7c,False,42119,8.907684,23.141913468732323,488150.0,42119,5.4462257741939175e-11,0.5471290546757259,0.593523870875145,0.531732667739955
Utf1,False,18926,1.6242586,65.46413386617033,89011.0,18926,2.9163050062266514e-11,0.6738882507518282,0.588730703967917,0.530436745173397
Rpl39,False,48374,28.868652,11.727888177223045,1582031.0,48374,3.801679562666065e-11,0.8183748673686561,0.585026205930837,0.528830927880647
Rpl38,False,48515,23.275852,11.470593602306522,1275540.0,48515,2.518140507936651e-11,0.6832262352930341,0.583920446649627,0.528391286019944
H2-Aa,False,48512,47.985695,11.47606795496433,2629664.0,48512,-2.2125036823113928e-10,1.092689472917344,0.578262326511126,0.527626730255716
Rpl23a,False,42477,11.235306,22.488640718235064,615706.0,42477,-9.823688678514685e-11,0.7300699443142614,0.575089662858844,0.526528112125162
Rpl24,False,46672,17.722286,14.8336709184139,971199.0,46672,3.313502744456329e-11,0.6344569103169968,0.572989719314764,0.526051526994596
Atp5f1,False,36399,4.196584,33.57967920293425,229977.0,36399,4.5691823058853666e-11,0.5566394514439569,0.571846397717938,0.525985784467725
Rps28,False,47434,22.44448,13.443185343333152,1229980.0,47434,2.1659985260864755e-11,0.7685239168519105,0.56743917567531,0.524167412011168
Rps12,False,48456,26.625975,11.578255871243226,1459130.0,48456,4.5714219173421106e-11,0.8649422372313428,0.567260712741193,0.523997848991302
Cox4i1,False,43059,9.693053,21.426616302622215,531189.0,43059,1.567519270611323e-11,0.5447456133083831,0.566560205670326,0.52366336663001
Rps17,False,41588,8.854747,24.110873889162608,485249.0,41588,-8.948698279905449e-11,0.6822173602430626,0.564639088367923,0.522930918898062
Phgdh,False,21927,1.9624095,59.98795642415284,107542.0,21927,-1.671054387454477e-10,0.7162179805340072,0.563851246972998,0.522396739803417
Rps11,False,45989,15.836371,16.079998540172625,867849.0,45989,2.3531123449042806e-10,0.6738355672206442,0.56237729386062,0.522219584437971
Ndufc2,False,36089,5.11675,34.145362310906734,280403.0,36089,1.0551849987165866e-10,0.7135432994830848,0.560063980631432,0.520234821974716
Txn1,False,44007,15.490483,19.696720862757978,848894.0,44007,-6.418611697042692e-11,0.7745090346642773,0.55977195370678,0.520098506672001
Mrpl38,False,31310,2.9904382,42.866006094779294,163879.0,31310,-5.0741016169468327e-11,0.6762502251780464,0.557714873274065,0.516740406724752
Rpl35,False,43309,11.581741,20.9704202478057,634691.0,43309,-3.260820983374339e-11,0.7521634349868304,0.556658884358471,0.512839142632132
Sec61b,False,35194,4.314593,35.778544187149876,236444.0,35194,-3.5651979118918867e-12,0.6604506183653848,0.556201168574468,0.511046588869491
H2-Eb1,False,47636,36.06956,13.074578931041403,1976648.0,47636,1.2672989662061237e-10,1.0169898134123116,0.553104973078837,0.51022261454995
Rps8,False,49558,30.95064,9.567343661612016,1696126.0,49558,-5.7141234257032524e-11,0.7466966117075928,0.55252273966085,0.510057748690132
Eef1a1,False,49974,29.869692,8.808233426397328,1636889.0,49974,4.8789019531895774e-11,0.6385689855593425,0.551507647020936,0.509994081137747
Fabp5,False,46915,47.607727,14.39024835313224,2608951.0,46915,2.463914595640393e-10,1.369343374031377,0.549519883537302,0.509933801239987
Rpl31,False,41363,7.432109,24.521450338497473,407287.0,41363,-5.7029309202575515e-11,0.6338187005608036,0.548189691394845,0.509743639196425
Sec61g,False,37326,4.6017776,31.888104231674607,252182.0,37326,1.2384720466248614e-10,0.5803264895155383,0.546234361744998,0.509146387281721
Rps29,False,51052,39.71192,6.841116038028505,2176253.0,51052,3.1527570471980636e-11,0.7053698750074688,0.546121340083596,0.508828831539217
H2-DMb2,False,28252,2.839273,48.446196237294934,155595.0,28252,-2.1780236591859684e-10,0.755939435449649,0.545980966415201,0.508784898522674
Ftl1,False,45416,19.84878,17.125599897812084,1087733.0,45416,-1.0935447942984932e-11,0.937882429049198,0.545328797296249,0.507925957175336
Banf1,False,24903,1.410321,54.557398587617016,77287.0,24903,-2.2764963880501495e-11,0.5249153772533535,0.544390653283926,0.506441644613894
Eif4e2,False,27980,1.7229978,48.94253754493532,94422.0,27980,2.1246740490025824e-10,0.5374421574899644,0.544372484898167,0.506293931123977
Eef1b2,False,41415,8.985037,24.42656155909564,492389.0,41415,1.6460888822519818e-11,0.695729720111536,0.543030498302773,0.504955592613352
Gm10076,False,41039,7.5402093,25.11268042553968,413211.0,41039,-4.9338459032029206e-11,0.7142071470316546,0.542875817771168,0.503305001922122
Rps27a,False,48204,25.284483,12.038101494498276,1385615.0,48204,7.748707725151865e-11,0.7290702886629702,0.541784242117857,0.502924130809328
Rpl37,False,48082,23.285505,12.260725169248731,1276069.0,48082,1.0253092999213382e-10,0.7317740536885998,0.541145551391621,0.502077424354045
Rpl7a,False,41963,8.452692,23.42657980693783,463216.0,41963,-1.254430990070885e-10,0.6872906003288148,0.539810635889637,0.502056513960393
Rack1,False,43000,9.884273,21.534278571558918,541668.0,43000,8.34171212809551e-11,0.717668283837756,0.539666701353121,0.500894281585949
Hspe1,False,38360,7.9631395,30.00127734895348,436388.0,38360,7.234089353071728e-11,0.8427916604442353,0.539050656439774,0.500324040091319
